file,line,term,context,classification,notes
docs/seo/keyword-map.csv,15,sideload APK,"""Unauthorised acquisition"",""free M3U"",""Downloader code; sideload APK; unofficial APK"",""Unauthorised acquisition"","""",""Embedded rejection rules"",""Unknown"",""Unknown"",""Unkn",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,15,unofficial APK,"""Unauthorised acquisition"",""free M3U"",""Downloader code; sideload APK; unofficial APK"",""Unauthorised acquisition"","""",""Embedded rejection rules"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,16,official Sky,"""Protected-service access"",""official Sky"",""official Premier League; broadcaster-branded subscription; every match"",""Unsupported rights"","""",""",FALSE POSITIVE,Review before publication.
docs/seo/keyword-map.csv,16,official Premier League,"""Protected-service access"",""official Sky"",""official Premier League; broadcaster-branded subscription; every match"",""Unsupported rights"","""",""Embedded rejection rules"",",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,16,every match,"rotected-service access"",""official Sky"",""official Premier League; broadcaster-branded subscription; every match"",""Unsupported rights"","""",""Embedded rejection rules"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""None"",",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/on-page-map.csv,7,Sideloading,"al app-store installation routes and clear troubleshooting steps.,Set Up a Supported Player Without Sideloading,Choose the device and player you actually use; Start with a panel rate you can model.; Commercial;",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/on-page-map.csv,8,sideloading,"ficially supported player in the Amazon Appstore and set up authorised provider credentials without sideloading.,Set Up Fire TV Only When the Player Is Officially Available,On this page; Before you start; 1. Sea",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/url-inventory.csv,7,Sideloading,"rue,58,33,IPTV Player Setup Guides | Official Installation Routes,Set Up a Supported Player Without Sideloading,BreadcrumbList,KEEP,,Validated against static production output.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
public/llms.txt,22,sideloading,"- No ISP-block evasion, sideloading, unofficial APK or protected-service logo guidance is published.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
public/llms.txt,22,unofficial APK,"- No ISP-block evasion, sideloading, unofficial APK or protected-service logo guidance is published.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
scripts/generate-compliance-report.mjs,7,bypass ISP,"'bypass ISP', 'anti block', 'anti-block', 'unblock provider', 'never buffers',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,7,anti block,"'bypass ISP', 'anti block', 'anti-block', 'unblock provider', 'never buffers',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,7,anti-block,"'bypass ISP', 'anti block', 'anti-block', 'unblock provider', 'never buffers',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,7,unblock provider,"'bypass ISP', 'anti block', 'anti-block', 'unblock provider', 'never buffers',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,7,never buffers,"'bypass ISP', 'anti block', 'anti-block', 'unblock provider', 'never buffers',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,8,zero buffering,"'zero buffering', '100% uptime', 'guaranteed uptime', 'guaranteed profit',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,8,100% uptime,"'zero buffering', '100% uptime', 'guaranteed uptime', 'guaranteed profit',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,8,guaranteed uptime,"'zero buffering', '100% uptime', 'guaranteed uptime', 'guaranteed profit',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,8,guaranteed profit,"'zero buffering', '100% uptime', 'guaranteed uptime', 'guaranteed profit',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,9,guaranteed income,"'guaranteed income', 'all channels', 'every channel', 'every match', 'all sports',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,9,all channels,"'guaranteed income', 'all channels', 'every channel', 'every match', 'all sports',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,9,every channel,"'guaranteed income', 'all channels', 'every channel', 'every match', 'all sports',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,9,every match,"'guaranteed income', 'all channels', 'every channel', 'every match', 'all sports',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,9,all sports,"'guaranteed income', 'all channels', 'every channel', 'every match', 'all sports',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,10,all PPV,"'all PPV', 'worldwide channels', 'unlimited profit', 'official Sky',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,10,worldwide channels,"'all PPV', 'worldwide channels', 'unlimited profit', 'official Sky',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,10,unlimited profit,"'all PPV', 'worldwide channels', 'unlimited profit', 'official Sky',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,10,official Sky,"'all PPV', 'worldwide channels', 'unlimited profit', 'official Sky',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,11,official Premier League,"'official Premier League', 'free M3U', 'Downloader code', 'sideload APK',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,11,free M3U,"'official Premier League', 'free M3U', 'Downloader code', 'sideload APK',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,11,Downloader code,"'official Premier League', 'free M3U', 'Downloader code', 'sideload APK',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,11,sideload APK,"'official Premier League', 'free M3U', 'Downloader code', 'sideload APK',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,12,sideloading,"'sideloading', 'unofficial APK',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,12,unofficial APK,"'sideloading', 'unofficial APK',",FALSE POSITIVE,Review before publication.
scripts/generate-compliance-report.mjs,38,every channel,const phraseFalsePositive = match[0].toLowerCase() === 'every channel';,FALSE POSITIVE,Review before publication.
src/config/pages.ts,65,sideloading,"ficially supported player in the Amazon Appstore and set up authorised provider credentials without sideloading.',",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
src/pages/contact.astro,23,every channel,"stion"" intro=""A concise, well-routed message is easier to act on than the same enquiry sent through every channel."" />",FALSE POSITIVE,Review before publication.
src/pages/guides/fire-tv-setup.astro,16,sideloading,"ations listed for your device and region in the Amazon Appstore. It does not use Developer Options, sideloading, Downloader codes or installation packages from third-party websites."" />",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
src/pages/guides/fire-tv-setup.astro,16,Downloader code,"for your device and region in the Amazon Appstore. It does not use Developer Options, sideloading, Downloader codes or installation packages from third-party websites."" />",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
src/pages/guides/fire-tv-setup.astro,25,sideloading,tly unsupported. Ask the provider for a different officially supported device or player rather than sideloading.</div>,VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
src/pages/guides/index.astro,23,Sideloading,"title=""Set Up a Supported Player Without Sideloading""",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
src/pages/guides/index.astro,37,Downloader code,"ing-notice section-action""><strong>Support boundary</strong> These guides do not provide APK files, Downloader codes, free playlists, protected content, ISP-block evasion or unauthorised provider credentials.</div>",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
